Number of records in page : 0, are : 606
Number of records in page : 1, are : 609
Number of records in page : 2, are : 611
Number of records in page : 3, are : 611
Number of records in page : 4, are : 611
Number of records in page : 5, are : 613
Number of records in page : 6, are : 609
Number of records in page : 7, are : 612
Number of records in page : 8, are : 612
Number of records in page : 9, are : 610
Number of records in page : 10, are : 609
Number of records in page : 11, are : 611
Number of records in page : 12, are : 612
Number of records in page : 13, are : 613
Number of records in page : 14, are : 611
Number of records in page : 15, are : 611
Number of records in page : 16, are : 611
Number of records in page : 17, are : 611
Number of records in page : 18, are : 610
10000
Number of records in page : 19, are : 612
Number of records in page : 20, are : 610
Number of records in page : 21, are : 611
Number of records in page : 22, are : 610
Number of records in page : 23, are : 611
Number of records in page : 24, are : 613
Number of records in page : 25, are : 609
Number of records in page : 26, are : 610
Number of records in page : 27, are : 610
Number of records in page : 28, are : 612
Number of records in page : 29, are : 611
Number of records in page : 30, are : 612
Number of records in page : 31, are : 608
Number of records in page : 32, are : 611
Number of records in page : 33, are : 612
Number of records in page : 34, are : 614
20000
Number of records in page : 35, are : 610
Number of records in page : 36, are : 608
Number of records in page : 37, are : 610
Number of records in page : 38, are : 610
Number of records in page : 39, are : 611
Number of records in page : 40, are : 611
Number of records in page : 41, are : 607
Number of records in page : 42, are : 610
Number of records in page : 43, are : 610
Number of records in page : 44, are : 612
Number of records in page : 45, are : 610
Number of records in page : 46, are : 611
Number of records in page : 47, are : 612
Number of records in page : 48, are : 609
Number of records in page : 49, are : 610
Number of records in page : 50, are : 609
30000
Number of records in page : 51, are : 608
Number of records in page : 52, are : 612
Number of records in page : 53, are : 610
Number of records in page : 54, are : 608
Number of records in page : 55, are : 611
Number of records in page : 56, are : 613
Number of records in page : 57, are : 610
Number of records in page : 58, are : 610
Number of records in page : 59, are : 608
Number of records in page : 60, are : 611
Number of records in page : 61, are : 611
Number of records in page : 62, are : 612
Number of records in page : 63, are : 610
Number of records in page : 64, are : 609
Number of records in page : 65, are : 611
Number of records in page : 66, are : 610
Number of records in page : 67, are : 611
Number of records in page : 68, are : 611
40000
Number of records in page : 69, are : 611
Number of records in page : 70, are : 612
Number of records in page : 71, are : 610
Number of records in page : 72, are : 609
Number of records in page : 73, are : 610
Number of records in page : 74, are : 608
Number of records in page : 75, are : 612
Number of records in page : 76, are : 608
Number of records in page : 77, are : 611
Number of records in page : 78, are : 610
Number of records in page : 79, are : 611
Number of records in page : 80, are : 613
Number of records in page : 81, are : 611
50000
Number of records in page : 82, are : 609
Number of records in page : 83, are : 610
Number of records in page : 84, are : 612
Number of records in page : 85, are : 612
Number of records in page : 86, are : 609
Number of records in page : 87, are : 610
Number of records in page : 88, are : 609
Number of records in page : 89, are : 613
Number of records in page : 90, are : 612
Number of records in page : 91, are : 610
Number of records in page : 92, are : 608
Number of records in page : 93, are : 610
Number of records in page : 94, are : 612
Number of records in page : 95, are : 613
Number of records in page : 96, are : 613
Number of records in page : 97, are : 606
Number of records in page : 98, are : 346
